user_id,region,age_group,plan,main_device,favorite_genres,tenure_months
U0070,Nordeste,25-34,Premium,Smart TV,Aventura|Animação|Crime,45
U0071,Norte,55+,Standard,Mobile,Família|Drama|Documentário,33
U0072,Sudeste,18-24,Standard,Mobile,Suspense|Drama|Ação,30
U0073,Nordeste,55+,Premium,Smart TV,Crime|Documentário|Comédia,48
U0074,Nordeste,55+,Standard,Smart TV,Drama|Família|Comédia,37
U0075,Nordeste,18-24,Standard,Mobile,Crime|Comédia|Suspense,23
U0076,Nordeste,25-34,Standard,Smart TV,Comédia|Documentário|Crime,32
U0077,Sudeste,35-44,Basic,Smart TV,Família|Romance|Crime,26
U0078,Nordeste,45-54,Standard,Mobile,Documentário|Aventura|Comédia,18
U0079,Sul,18-24,Premium,Smart TV,Documentário|Crime|Família,47
U0080,Sudeste,25-34,Basic,Smart TV,Terror|Aventura|Ficção científica,29
U0081,Sudeste,45-54,Basic,Mobile,Documentário|Comédia|Família,36
U0082,Centro-Oeste,25-34,Basic,Desktop,Aventura|Documentário|Crime,20
U0083,Sudeste,35-44,Standard,Mobile,Aventura|Documentário|Terror,10
U0084,Sudeste,35-44,Basic,Smart TV,Terror|Romance|Aventura,6
U0085,Nordeste,55+,Standard,Smart TV,Documentário|Ação|Crime,39
U0086,Norte,18-24,Basic,Tablet,Família|Romance|Ficção científica,26
U0087,Nordeste,55+,Basic,Mobile,Romance|Animação|Crime,25
U0088,Sudeste,35-44,Basic,Mobile,Suspense|Ação|Romance,6
U0089,Sudeste,45-54,Basic,Smart TV,Romance|Animação|Suspense,38
U0090,Sudeste,18-24,Premium,Smart TV,Aventura|Crime|Suspense,13
U0091,Sudeste,35-44,Premium,Smart TV,Drama|Ação|Documentário,29
U0092,Nordeste,45-54,Premium,Desktop,Crime|Drama|Romance,17
U0093,Sudeste,45-54,Premium,Desktop,Drama|Comédia|Aventura,11
U0094,Sudeste,18-24,Basic,Smart TV,Romance|Aventura|Drama,8
U0095,Centro-Oeste,25-34,Premium,Mobile,Família|Documentário|Ação,40
U0096,Sudeste,18-24,Standard,Desktop,Ação|Família|Ficção científica,5
U0097,Sudeste,18-24,Premium,Desktop,Animação|Ação|Drama,1
U0098,Sul,35-44,Standard,Mobile,Aventura|Comédia|Animação,15
U0099,Sudeste,55+,Basic,Smart TV,Suspense|Romance|Drama,43
U0100,Sudeste,35-44,Basic,Tablet,Documentário|Suspense|Animação,34
U0101,Norte,18-24,Basic,Smart TV,Romance|Suspense|Drama,40
U0102,Nordeste,25-34,Standard,Smart TV,Família|Romance|Terror,10
U0103,Nordeste,25-34,Standard,Smart TV,Família|Comédia|Drama,47
U0104,Nordeste,18-24,Premium,Mobile,Documentário|Crime|Comédia,6
U0105,Sudeste,45-54,Basic,Smart TV,Ficção científica|Crime|Terror,2
U0106,Nordeste,25-34,Standard,Mobile,Comédia|Ação|Ficção científica,23
U0107,Sul,18-24,Standard,Tablet,Família|Suspense|Terror,22
U0108,Sudeste,35-44,Basic,Mobile,Documentário|Suspense|Ação,14
U0109,Sudeste,18-24,Basic,Tablet,Drama|Documentário|Ficção científica,9
U0110,Sul,25-34,Standard,Desktop,Documentário|Crime|Aventura,16
U0111,Sudeste,25-34,Standard,Desktop,Romance|Documentário|Aventura,18
U0112,Sudeste,18-24,Basic,Mobile,Documentário|Romance|Terror,29
U0113,Sudeste,35-44,Basic,Desktop,Ação|Drama|Suspense,18
U0114,Sul,25-34,Basic,Mobile,Ação|Animação|Crime,12
U0115,Sudeste,35-44,Premium,Smart TV,Crime|Drama|Romance,29
U0116,Sul,25-34,Premium,Desktop,Romance|Crime|Terror,28
U0117,Sudeste,25-34,Basic,Mobile,Animação|Suspense|Ficção científica,21
U0118,Sul,35-44,Standard,Desktop,Aventura|Crime|Romance,6
U0119,Sudeste,18-24,Premium,Smart TV,Animação|Ação|Documentário,47
U0120,Sudeste,18-24,Basic,Smart TV,Terror|Documentário|Drama,25
U0121,Nordeste,25-34,Basic,Mobile,Documentário|Ação|Família,14
U0122,Nordeste,18-24,Basic,Mobile,Terror|Documentário|Drama,35
U0123,Sudeste,18-24,Basic,Mobile,Família|Documentário|Comédia,21
U0124,Sul,55+,Premium,Desktop,Romance|Suspense|Ação,8
U0125,Nordeste,25-34,Premium,Mobile,Romance|Comédia|Suspense,34
U0126,Sudeste,35-44,Standard,Smart TV,Ficção científica|Drama|Animação,5
U0127,Sul,25-34,Basic,Mobile,Família|Ação|Documentário,14
U0128,Sudeste,18-24,Premium,Smart TV,Terror|Animação|Comédia,32
U0129,Nordeste,35-44,Basic,Mobile,Suspense|Romance|Família,35
U0130,Sudeste,35-44,Basic,Smart TV,Drama|Romance|Terror,48
U0131,Norte,55+,Basic,Smart TV,Drama|Animação|Comédia,35
U0132,Nordeste,18-24,Premium,Tablet,Família|Crime|Ação,12
U0133,Sul,18-24,Standard,Smart TV,Animação|Comédia|Documentário,35
U0134,Sudeste,35-44,Standard,Mobile,Comédia|Drama|Romance,37
U0135,Sul,25-34,Standard,Mobile,Drama|Família|Suspense,33
U0136,Sudeste,18-24,Basic,Smart TV,Documentário|Romance|Crime,36
U0137,Sudeste,25-34,Standard,Tablet,Animação|Ficção científica|Ação,40
U0138,Sudeste,18-24,Premium,Smart TV,Suspense|Terror|Ficção científica,28
U0139,Nordeste,45-54,Premium,Mobile,Animação|Terror|Comédia,48
U0140,Nordeste,45-54,Standard,Desktop,Animação|Aventura|Suspense,31
U0141,Centro-Oeste,35-44,Basic,Mobile,Comédia|Documentário|Animação,3
U0142,Sudeste,25-34,Premium,Smart TV,Suspense|Crime|Animação,9
U0143,Centro-Oeste,35-44,Standard,Desktop,Comédia|Família|Animação,24
U0144,Nordeste,35-44,Basic,Tablet,Ficção científica|Terror|Romance,21
U0145,Centro-Oeste,45-54,Basic,Mobile,Ação|Drama|Família,40
U0146,Nordeste,25-34,Basic,Mobile,Animação|Aventura|Crime,33
U0147,Sudeste,55+,Standard,Smart TV,Drama|Ação|Terror,1
U0148,Centro-Oeste,25-34,Standard,Smart TV,Terror|Aventura|Romance,22
U0149,Sul,35-44,Basic,Mobile,Família|Romance|Crime,27
U0150,Nordeste,45-54,Basic,Smart TV,Romance|Ação|Família,48
U0151,Sudeste,45-54,Standard,Mobile,Comédia|Suspense|Terror,32
U0152,Sudeste,55+,Standard,Smart TV,Ação|Animação|Documentário,9
U0153,Sudeste,25-34,Basic,Smart TV,Animação|Aventura|Drama,10
U0154,Sul,35-44,Basic,Mobile,Drama|Ação|Terror,16
U0155,Sudeste,25-34,Premium,Smart TV,Ação|Crime|Ficção científica,20
U0156,Centro-Oeste,35-44,Premium,Mobile,Animação|Documentário|Drama,6
U0157,Sudeste,25-34,Basic,Mobile,Drama|Ficção científica|Romance,38
U0158,Sudeste,25-34,Standard,Smart TV,Documentário|Terror|Animação,4
U0159,Sudeste,55+,Premium,Smart TV,Drama|Família|Crime,4
U0160,Sudeste,45-54,Basic,Smart TV,Drama|Documentário|Ficção científica,7
U0161,Sudeste,25-34,Premium,Mobile,Família|Terror|Ficção científica,7
U0162,Nordeste,18-24,Standard,Smart TV,Romance|Animação|Documentário,28
U0163,Norte,25-34,Standard,Mobile,Ficção científica|Ação|Comédia,40
U0164,Sudeste,18-24,Standard,Mobile,Suspense|Ficção científica|Ação,46
U0165,Sudeste,18-24,Basic,Smart TV,Aventura|Terror|Comédia,39
U0166,Nordeste,45-54,Premium,Smart TV,Suspense|Documentário|Crime,33
U0167,Sudeste,25-34,Standard,Smart TV,Ação|Suspense|Crime,29
U0168,Nordeste,18-24,Basic,Smart TV,Terror|Aventura|Ficção científica,15
U0169,Sul,35-44,Standard,Smart TV,Ação|Drama|Família,20
U0170,Nordeste,18-24,Premium,Tablet,Ficção científica|Família|Aventura,42
U0171,Sudeste,25-34,Premium,Smart TV,Animação|Aventura|Ação,6
U0172,Norte,25-34,Standard,Smart TV,Crime|Suspense|Comédia,40
U0173,Norte,18-24,Basic,Desktop,Crime|Suspense|Animação,39
U0174,Sudeste,35-44,Basic,Desktop,Família|Documentário|Comédia,3
U0175,Sul,35-44,Basic,Mobile,Suspense|Família|Crime,12
U0176,Sudeste,25-34,Premium,Mobile,Crime|Ação|Drama,15
U0177,Sudeste,45-54,Premium,Smart TV,Suspense|Ação|Romance,44
U0178,Norte,55+,Premium,Desktop,Comédia|Suspense|Animação,22
U0179,Sudeste,45-54,Basic,Mobile,Ficção científica|Documentário|Terror,38
U0180,Sudeste,55+,Premium,Mobile,Documentário|Suspense|Família,29
U0181,Sudeste,55+,Premium,Smart TV,Drama|Ação|Ficção científica,4
U0182,Sul,45-54,Standard,Mobile,Ficção científica|Drama|Família,33
U0183,Centro-Oeste,25-34,Premium,Mobile,Suspense|Animação|Crime,31
U0184,Nordeste,18-24,Standard,Smart TV,Ficção científica|Suspense|Crime,42
U0185,Nordeste,35-44,Basic,Mobile,Crime|Aventura|Família,45
U0186,Sudeste,45-54,Basic,Smart TV,Aventura|Ação|Terror,29
U0187,Nordeste,45-54,Basic,Mobile,Drama|Ficção científica|Terror,43
U0188,Sudeste,35-44,Basic,Smart TV,Romance|Aventura|Ficção científica,7
U0189,Sul,45-54,Standard,Desktop,Terror|Drama|Animação,30
U0190,Sul,35-44,Basic,Mobile,Comédia|Animação|Ficção científica,28
U0191,Norte,35-44,Basic,Mobile,Romance|Ficção científica|Documentário,9
U0192,Nordeste,18-24,Basic,Smart TV,Ação|Romance|Família,26
U0193,Nordeste,25-34,Standard,Mobile,Ficção científica|Comédia|Ação,33
U0194,Sudeste,18-24,Premium,Smart TV,Aventura|Romance|Crime,20
U0195,Sudeste,18-24,Standard,Smart TV,Terror|Romance|Animação,32
U0196,Sul,35-44,Premium,Smart TV,Crime|Ficção científica|Comédia,36
U0197,Nordeste,18-24,Premium,Smart TV,Animação|Documentário|Terror,29
U0198,Nordeste,55+,Standard,Desktop,Ação|Família|Crime,20
U0199,Sul,25-34,Standard,Smart TV,Documentário|Ficção científica|Família,13
U0200,Sudeste,35-44,Standard,Desktop,Crime|Família|Terror,32
U0201,Sudeste,18-24,Premium,Desktop,Comédia|Crime|Suspense,44
U0202,Sudeste,45-54,Basic,Mobile,Romance|Ação|Drama,23
U0203,Nordeste,25-34,Premium,Smart TV,Aventura|Crime|Família,25
U0204,Norte,35-44,Standard,Mobile,Drama|Ação|Documentário,44
U0205,Sul,35-44,Basic,Desktop,Crime|Comédia|Documentário,15
U0206,Nordeste,35-44,Standard,Smart TV,Ficção científica|Ação|Suspense,39
U0207,Nordeste,35-44,Premium,Smart TV,Ficção científica|Ação|Crime,13
U0208,Sudeste,35-44,Premium,Smart TV,Drama|Romance|Crime,13
U0209,Sudeste,45-54,Premium,Smart TV,Comédia|Ação|Família,14
U0210,Sudeste,25-34,Standard,Smart TV,Documentário|Ficção científica|Aventura,3
U0211,Centro-Oeste,55+,Standard,Smart TV,Documentário|Drama|Família,23
U0212,Sudeste,25-34,Premium,Mobile,Família|Aventura|Ação,17
U0213,Sul,25-34,Basic,Mobile,Romance|Suspense|Ação,12
U0214,Sudeste,25-34,Basic,Smart TV,Família|Ação|Suspense,37
U0215,Nordeste,25-34,Standard,Tablet,Documentário|Animação|Terror,25
U0216,Sudeste,25-34,Standard,Smart TV,Terror|Aventura|Animação,10
U0217,Norte,45-54,Standard,Smart TV,Romance|Crime|Aventura,10
U0218,Sudeste,35-44,Premium,Smart TV,Comédia|Terror|Animação,39
U0219,Centro-Oeste,55+,Basic,Smart TV,Crime|Aventura|Drama,14
U0220,Sul,18-24,Premium,Mobile,Aventura|Crime|Suspense,19
U0221,Sudeste,35-44,Standard,Smart TV,Ficção científica|Terror|Documentário,6
U0222,Nordeste,18-24,Premium,Desktop,Suspense|Família|Terror,39
U0223,Sul,25-34,Basic,Desktop,Romance|Crime|Drama,18
U0224,Sudeste,25-34,Standard,Smart TV,Suspense|Romance|Comédia,34
U0225,Nordeste,35-44,Premium,Mobile,Comédia|Terror|Aventura,20
U0226,Sul,35-44,Standard,Mobile,Animação|Aventura|Drama,39
U0227,Sul,25-34,Basic,Desktop,Aventura|Documentário|Animação,20
U0228,Nordeste,25-34,Basic,Smart TV,Ficção científica|Suspense|Animação,43
U0229,Nordeste,25-34,Basic,Mobile,Aventura|Romance|Ação,35
U0230,Sudeste,25-34,Standard,Smart TV,Aventura|Ação|Suspense,24
U0231,Sudeste,35-44,Standard,Smart TV,Animação|Suspense|Família,24
U0232,Sudeste,25-34,Standard,Desktop,Ação|Família|Aventura,30
U0233,Sul,45-54,Standard,Smart TV,Drama|Comédia|Ação,34
U0234,Sudeste,55+,Basic,Mobile,Drama|Família|Terror,34
U0235,Sudeste,25-34,Basic,Smart TV,Suspense|Romance|Crime,2
U0236,Nordeste,55+,Premium,Desktop,Crime|Comédia|Documentário,13
U0237,Sudeste,45-54,Premium,Smart TV,Comédia|Terror|Romance,21
U0238,Sudeste,18-24,Standard,Smart TV,Drama|Crime|Ação,26
U0239,Nordeste,45-54,Standard,Mobile,Animação|Ficção científica|Terror,5
U0240,Nordeste,25-34,Premium,Smart TV,Crime|Ficção científica|Terror,10
U0241,Nordeste,35-44,Premium,Smart TV,Animação|Comédia|Aventura,23
U0242,Sudeste,35-44,Standard,Mobile,Crime|Comédia|Ação,22
U0243,Sul,45-54,Basic,Tablet,Animação|Suspense|Ficção científica,30
U0244,Centro-Oeste,35-44,Basic,Mobile,Ação|Romance|Crime,4
U0245,Sudeste,45-54,Standard,Smart TV,Romance|Drama|Crime,39
U0246,Sudeste,25-34,Standard,Smart TV,Família|Terror|Documentário,15
U0247,Sudeste,55+,Basic,Desktop,Comédia|Crime|Aventura,27
U0248,Centro-Oeste,35-44,Basic,Smart TV,Terror|Família|Documentário,46
U0249,Sudeste,45-54,Premium,Mobile,Documentário|Família|Aventura,19
U0250,Sul,45-54,Basic,Mobile,Crime|Suspense|Comédia,16
U0251,Sul,18-24,Premium,Desktop,Ação|Família|Terror,13
U0252,Norte,25-34,Premium,Smart TV,Crime|Aventura|Comédia,32
U0253,Sudeste,45-54,Standard,Tablet,Comédia|Romance|Terror,46
U0254,Sul,55+,Basic,Smart TV,Família|Animação|Ficção científica,27
U0255,Norte,35-44,Premium,Mobile,Drama|Suspense|Comédia,10
U0256,Sudeste,25-34,Standard,Smart TV,Drama|Ficção científica|Animação,46
U0257,Sul,25-34,Basic,Mobile,Crime|Aventura|Comédia,3
U0258,Sudeste,35-44,Standard,Smart TV,Romance|Família|Animação,20
U0259,Sudeste,25-34,Basic,Smart TV,Ficção científica|Aventura|Drama,7
U0260,Sudeste,45-54,Standard,Mobile,Ficção científica|Aventura|Família,2
U0261,Sudeste,35-44,Premium,Smart TV,Terror|Aventura|Romance,48
U0262,Sudeste,25-34,Standard,Tablet,Família|Terror|Drama,5
U0263,Nordeste,25-34,Premium,Desktop,Crime|Terror|Animação,44
U0264,Sul,55+,Standard,Mobile,Ficção científica|Aventura|Documentário,27
U0265,Sudeste,35-44,Premium,Mobile,Ficção científica|Crime|Drama,16
U0266,Nordeste,25-34,Premium,Smart TV,Comédia|Suspense|Ação,42
U0267,Norte,25-34,Basic,Smart TV,Ação|Drama|Animação,1
U0268,Sudeste,25-34,Premium,Smart TV,Crime|Ação|Documentário,34
U0269,Sudeste,25-34,Premium,Mobile,Animação|Crime|Ação,37
U0270,Sudeste,35-44,Basic,Desktop,Ficção científica|Ação|Aventura,18
U0271,Nordeste,25-34,Premium,Smart TV,Terror|Animação|Comédia,15
U0272,Nordeste,25-34,Basic,Smart TV,Romance|Crime|Suspense,1
U0273,Sul,25-34,Basic,Smart TV,Crime|Documentário|Ação,2
U0274,Sudeste,25-34,Basic,Mobile,Família|Animação|Documentário,3
U0275,Sul,35-44,Standard,Smart TV,Crime|Ação|Romance,22
U0276,Nordeste,35-44,Basic,Smart TV,Família|Crime|Comédia,26
U0277,Sudeste,18-24,Basic,Smart TV,Suspense|Animação|Família,21
U0278,Sudeste,25-34,Premium,Smart TV,Família|Terror|Ficção científica,34
U0279,Sudeste,45-54,Standard,Mobile,Romance|Família|Animação,18
U0280,Nordeste,45-54,Premium,Tablet,Ficção científica|Ação|Crime,38
U0281,Norte,18-24,Basic,Smart TV,Terror|Aventura|Ficção científica,32
U0282,Sudeste,18-24,Basic,Smart TV,Romance|Ação|Ficção científica,45
U0283,Centro-Oeste,55+,Premium,Smart TV,Ação|Crime|Família,35
U0284,Sudeste,18-24,Basic,Mobile,Documentário|Família|Terror,7
U0285,Nordeste,55+,Standard,Mobile,Suspense|Animação|Ação,27
U0286,Centro-Oeste,45-54,Premium,Mobile,Suspense|Aventura|Ficção científica,32
U0287,Sul,18-24,Basic,Mobile,Documentário|Aventura|Terror,1
U0288,Sudeste,18-24,Standard,Tablet,Romance|Ficção científica|Ação,3
U0289,Sudeste,55+,Standard,Smart TV,Ficção científica|Documentário|Crime,2
U0290,Nordeste,25-34,Basic,Smart TV,Drama|Romance|Família,9
U0291,Sul,35-44,Standard,Smart TV,Crime|Animação|Drama,43
U0292,Sudeste,25-34,Standard,Mobile,Terror|Crime|Comédia,12
U0293,Sul,35-44,Basic,Smart TV,Documentário|Suspense|Família,9
U0294,Sudeste,45-54,Standard,Desktop,Crime|Romance|Ação,22
U0295,Sudeste,35-44,Standard,Mobile,Ação|Ficção científica|Comédia,20
U0296,Nordeste,18-24,Standard,Tablet,Documentário|Drama|Comédia,48
U0297,Sudeste,35-44,Premium,Tablet,Terror|Suspense|Ficção científica,5
U0298,Sudeste,35-44,Premium,Mobile,Aventura|Suspense|Comédia,41
U0299,Sudeste,25-34,Standard,Desktop,Animação|Suspense|Crime,12
U0300,Centro-Oeste,35-44,Premium,Mobile,Ficção científica|Crime|Comédia,15
U0301,Sudeste,35-44,Premium,Smart TV,Comédia|Romance|Suspense,24
U0302,Sudeste,18-24,Basic,Mobile,Drama|Suspense|Animação,47
U0303,Sudeste,55+,Basic,Tablet,Terror|Drama|Aventura,12
U0304,Sudeste,25-34,Basic,Mobile,Suspense|Documentário|Crime,17
U0305,Sudeste,25-34,Basic,Mobile,Comédia|Animação|Aventura,32
U0306,Sudeste,18-24,Standard,Smart TV,Aventura|Terror|Ação,33
U0307,Sudeste,25-34,Basic,Desktop,Drama|Terror|Aventura,18
U0308,Nordeste,25-34,Premium,Smart TV,Suspense|Família|Crime,7
U0309,Sudeste,25-34,Standard,Mobile,Suspense|Aventura|Animação,38
U0310,Sudeste,45-54,Basic,Mobile,Ficção científica|Drama|Comédia,44
U0311,Nordeste,35-44,Premium,Mobile,Aventura|Crime|Documentário,29
U0312,Sudeste,18-24,Standard,Smart TV,Ficção científica|Aventura|Romance,42
U0313,Sudeste,35-44,Basic,Mobile,Terror|Animação|Suspense,13
U0314,Norte,35-44,Basic,Smart TV,Crime|Suspense|Ficção científica,42
U0315,Sul,25-34,Standard,Smart TV,Romance|Terror|Crime,39
U0316,Nordeste,55+,Standard,Smart TV,Crime|Terror|Comédia,44
U0317,Sul,25-34,Standard,Mobile,Documentário|Família|Ação,45
U0318,Norte,18-24,Premium,Smart TV,Animação|Crime|Romance,17
U0319,Sudeste,18-24,Standard,Smart TV,Ação|Aventura|Drama,6
U0320,Sudeste,25-34,Premium,Desktop,Terror|Documentário|Família,36
U0321,Nordeste,25-34,Standard,Mobile,Suspense|Drama|Aventura,33
U0322,Sudeste,18-24,Standard,Desktop,Drama|Crime|Ação,32
U0323,Sul,35-44,Basic,Mobile,Família|Ação|Suspense,31
U0324,Sudeste,45-54,Standard,Smart TV,Drama|Documentário|Animação,2
U0325,Sudeste,45-54,Standard,Mobile,Terror|Comédia|Ficção científica,33
U0326,Nordeste,35-44,Standard,Smart TV,Comédia|Suspense|Crime,24
U0327,Sul,35-44,Standard,Tablet,Ficção científica|Terror|Romance,2
U0328,Sul,35-44,Standard,Smart TV,Crime|Suspense|Drama,42
U0329,Sudeste,25-34,Standard,Desktop,Crime|Drama|Ficção científica,2
U0330,Sudeste,25-34,Standard,Mobile,Ficção científica|Aventura|Documentário,12
U0331,Nordeste,25-34,Standard,Desktop,Drama|Animação|Suspense,15
U0332,Sudeste,18-24,Premium,Smart TV,Drama|Terror|Ficção científica,38
U0333,Sul,35-44,Standard,Mobile,Drama|Crime|Terror,4
U0334,Sul,25-34,Standard,Smart TV,Documentário|Romance|Ficção científica,19
U0335,Sudeste,18-24,Standard,Desktop,Documentário|Terror|Comédia,18
U0336,Sudeste,25-34,Standard,Smart TV,Aventura|Família|Suspense,20
U0337,Nordeste,45-54,Premium,Smart TV,Drama|Aventura|Suspense,42
U0338,Sudeste,25-34,Premium,Mobile,Comédia|Suspense|Romance,16
U0339,Sudeste,25-34,Premium,Mobile,Aventura|Suspense|Animação,18
U0340,Norte,18-24,Premium,Mobile,Crime|Drama|Animação,20
U0341,Sudeste,18-24,Standard,Mobile,Ação|Suspense|Drama,19
U0342,Nordeste,35-44,Premium,Smart TV,Crime|Ficção científica|Terror,46
U0343,Sudeste,18-24,Premium,Mobile,Ação|Animação|Drama,13
U0344,Sudeste,25-34,Premium,Smart TV,Ação|Suspense|Crime,6
U0345,Sul,55+,Premium,Mobile,Aventura|Ficção científica|Suspense,21
U0346,Sudeste,25-34,Standard,Smart TV,Terror|Ação|Romance,5
U0347,Nordeste,35-44,Standard,Smart TV,Ficção científica|Documentário|Família,39
U0348,Sudeste,35-44,Standard,Desktop,Terror|Ação|Aventura,43
U0349,Sul,25-34,Standard,Desktop,Família|Suspense|Ação,40
U0350,Nordeste,25-34,Standard,Tablet,Romance|Comédia|Drama,39
U0351,Sul,25-34,Basic,Mobile,Ação|Terror|Crime,21
U0352,Sudeste,25-34,Standard,Smart TV,Crime|Ficção científica|Aventura,34
U0353,Sudeste,25-34,Standard,Mobile,Terror|Suspense|Crime,20
U0354,Sudeste,35-44,Basic,Smart TV,Documentário|Ficção científica|Comédia,42
U0355,Centro-Oeste,18-24,Basic,Mobile,Drama|Família|Animação,10
U0356,Sul,18-24,Basic,Smart TV,Suspense|Romance|Crime,7
U0357,Nordeste,35-44,Standard,Tablet,Comédia|Família|Crime,47
U0358,Sudeste,25-34,Standard,Smart TV,Animação|Ação|Terror,18
U0359,Sudeste,35-44,Basic,Smart TV,Aventura|Família|Suspense,15
U0360,Sudeste,18-24,Basic,Desktop,Documentário|Suspense|Aventura,33
U0361,Sudeste,35-44,Standard,Smart TV,Romance|Comédia|Crime,17
