interaction_id,user_id,item_id,event_type,event_weight,watch_pct,event_ts,session_id,source
I0032254,U0706,T0199,play,1.0,0.4288,2026-03-17T03:00:00,S0705007,Busca
I0021666,U0470,T0209,play,1.0,0.3396,2026-03-17T03:00:00,S0469003,Minha lista
I0010138,U0220,T0218,play,1.0,0.3256,2026-03-17T03:00:00,S0219000,Home
I0000413,U0010,T0110,play,1.0,0.1976,2026-03-17T03:00:00,S0009003,Top 10
I0029645,U0649,T0164,complete,3.0,0.9159,2026-03-17T03:00:00,S0648011,Home
I0029366,U0643,T0060,skip,-1.0,0.0135,2026-03-17T03:00:00,S0642001,Home
I0009150,U0201,T0039,like,4.0,0.8228,2026-03-17T03:00:00,S0200006,Minha lista
I0011619,U0251,T0030,complete,3.0,0.9228,2026-03-17T04:00:00,S0250005,Home
I0004580,U0104,T0028,like,4.0,0.8377,2026-03-17T04:00:00,S0103001,Home
I0032792,U0717,T0170,play,1.0,0.4768,2026-03-17T04:00:00,S0716011,Home
I0024716,U0539,T0230,complete,3.0,0.8977,2026-03-17T04:00:00,S0538002,Busca
I0023508,U0512,T0002,like,4.0,0.8328,2026-03-17T04:00:00,S0511002,Home
I0036017,U0785,T0215,complete,3.0,0.9161,2026-03-17T04:00:00,S0784006,Top 10
I0018513,U0400,T0224,complete,3.0,0.8602,2026-03-17T04:00:00,S0399010,Busca
I0012019,U0260,T0049,complete,3.0,0.9597,2026-03-17T04:00:00,S0259006,Home
I0004970,U0111,T0070,complete,3.0,0.9433,2026-03-17T04:00:00,S0110011,Busca
I0005024,U0112,T0122,complete,3.0,0.9704,2026-03-17T04:00:00,S0111010,Home
I0008582,U0189,T0221,complete,3.0,0.8659,2026-03-17T04:00:00,S0188001,Busca
I0029271,U0641,T0071,complete,3.0,0.9052,2026-03-17T04:00:00,S0640003,Home
I0015712,U0339,T0154,complete,3.0,0.825,2026-03-17T04:00:00,S0338002,Home
I0023373,U0508,T0198,like,4.0,0.8309,2026-03-17T04:00:00,S0507009,Home
I0036276,U0790,T0135,skip,-1.0,0.0934,2026-03-17T04:00:00,S0789007,Top 10
I0013450,U0293,T0164,skip,-1.0,0.1097,2026-03-17T04:00:00,S0292002,Busca
I0000887,U0021,T0068,complete,3.0,0.8306,2026-03-17T04:00:00,S0020008,Home
I0036095,U0787,T0207,complete,3.0,0.8415,2026-03-17T04:00:00,S0786005,Minha lista
I0005710,U0125,T0181,skip,-1.0,0.1473,2026-03-17T04:00:00,S0124009,Home
I0009399,U0206,T0185,play,1.0,0.5111,2026-03-17T04:00:00,S0205002,Home
I0032179,U0705,T0187,skip,-1.0,0.1031,2026-03-17T04:00:00,S0704004,Home
I0016967,U0366,T0120,play,1.0,0.2471,2026-03-17T04:00:00,S0365001,Minha lista
I0006191,U0136,T0053,play,1.0,0.4177,2026-03-17T04:00:00,S0135005,Busca
I0005649,U0124,T0019,play,1.0,0.4753,2026-03-17T04:00:00,S0123007,Home
I0028883,U0632,T0088,play,1.0,0.5115,2026-03-17T04:00:00,S0631001,Home
I0008013,U0176,T0199,like,4.0,0.7317,2026-03-17T04:00:00,S0175000,Home
I0014886,U0323,T0123,complete,3.0,0.9941,2026-03-17T04:00:00,S0322002,Top 10
I0034997,U0764,T0196,complete,3.0,0.8271,2026-03-17T04:00:00,S0763011,Top 10
I0020982,U0455,T0123,complete,3.0,0.9446,2026-03-17T04:00:00,S0454004,Busca
I0012226,U0265,T0122,skip,-1.0,0.0362,2026-03-17T04:00:00,S0264003,Home
I0012694,U0274,T0229,complete,3.0,0.9328,2026-03-17T04:00:00,S0273011,Home
I0000151,U0004,T0177,complete,3.0,0.8966,2026-03-17T04:00:00,S0003006,Minha lista
I0007923,U0173,T0121,play,1.0,0.396,2026-03-17T04:00:00,S0172005,Home
I0006623,U0145,T0079,complete,3.0,0.9408,2026-03-17T04:00:00,S0144013,Top 10
I0030786,U0674,T0224,complete,3.0,0.8411,2026-03-17T04:00:00,S0673007,Home
I0022613,U0492,T0046,complete,3.0,0.9656,2026-03-17T04:00:00,S0491003,Home
I0017962,U0389,T0218,like,4.0,0.943,2026-03-17T04:00:00,S0388002,Busca
I0021649,U0469,T0025,like,4.0,0.8268,2026-03-17T04:00:00,S0468012,Home
I0026078,U0569,T0238,complete,3.0,0.9114,2026-03-17T04:00:00,S0568005,Home
I0021124,U0458,T0040,complete,3.0,0.8666,2026-03-17T04:00:00,S0457003,Home
I0013214,U0287,T0089,skip,-1.0,0.1372,2026-03-17T04:00:00,S0286004,Home
I0006007,U0132,T0143,play,1.0,0.5641,2026-03-17T04:00:00,S0131001,Home
I0000006,U0001,T0232,like,4.0,0.8472,2026-03-17T04:00:00,S0000001,Minha lista
I0001997,U0046,T0046,like,4.0,0.7843,2026-03-17T04:00:00,S0045006,Home
I0022354,U0486,T0073,complete,3.0,0.8548,2026-03-17T04:00:00,S0485000,Home
I0010130,U0219,T0198,complete,3.0,0.8224,2026-03-17T04:00:00,S0218008,Home
I0016342,U0353,T0125,like,4.0,0.7611,2026-03-17T04:00:00,S0352002,Minha lista
I0024870,U0542,T0073,like,4.0,0.722,2026-03-17T05:00:00,S0541002,Home
I0021346,U0462,T0108,complete,3.0,0.935,2026-03-17T05:00:00,S0461007,Busca
I0022382,U0486,T0164,complete,3.0,0.8475,2026-03-17T05:00:00,S0485007,Busca
I0000684,U0017,T0166,like,4.0,0.9366,2026-03-17T05:00:00,S0016001,Home
I0026308,U0574,T0130,play,1.0,0.6851,2026-03-17T05:00:00,S0573008,Top 10
I0032720,U0716,T0238,play,1.0,0.4584,2026-03-17T05:00:00,S0715005,Home
I0013595,U0296,T0102,like,4.0,0.7908,2026-03-17T05:00:00,S0295000,Home
I0011498,U0248,T0211,complete,3.0,0.9002,2026-03-17T05:00:00,S0247014,Home
I0016293,U0352,T0238,complete,3.0,0.8906,2026-03-17T05:00:00,S0351003,Home
I0000782,U0018,T0058,complete,3.0,0.9967,2026-03-17T05:00:00,S0017010,Home
I0016040,U0346,T0089,complete,3.0,0.91,2026-03-17T05:00:00,S0345004,Busca
I0035478,U0774,T0236,skip,-1.0,0.1299,2026-03-17T05:00:00,S0773008,Home
I0016042,U0346,T0113,like,4.0,0.8176,2026-03-17T05:00:00,S0345004,Busca
I0006756,U0148,T0035,skip,-1.0,0.0817,2026-03-17T05:00:00,S0147004,Busca
I0018295,U0395,T0155,like,4.0,0.7638,2026-03-17T05:00:00,S0394012,Home
I0034941,U0763,T0181,complete,3.0,0.8236,2026-03-17T05:00:00,S0762012,Busca
I0005041,U0112,T0062,like,4.0,0.7854,2026-03-17T05:00:00,S0111014,Busca
I0023696,U0516,T0055,complete,3.0,0.9629,2026-03-17T05:00:00,S0515008,Home
I0022083,U0479,T0162,complete,3.0,0.9563,2026-03-17T05:00:00,S0478005,Home
I0035461,U0774,T0138,complete,3.0,0.979,2026-03-17T05:00:00,S0773004,Top 10
I0022284,U0483,T0084,play,1.0,0.4535,2026-03-17T05:00:00,S0482012,Home
I0002601,U0059,T0077,complete,3.0,0.9942,2026-03-17T05:00:00,S0058011,Home
I0004960,U0111,T0162,complete,3.0,0.9572,2026-03-17T05:00:00,S0110009,Top 10
I0015628,U0337,T0179,like,4.0,0.7795,2026-03-17T05:00:00,S0336008,Home
I0025612,U0558,T0132,complete,3.0,0.8643,2026-03-17T05:00:00,S0557005,Home
I0019022,U0411,T0211,complete,3.0,0.8901,2026-03-17T05:00:00,S0410008,Top 10
I0007069,U0154,T0189,complete,3.0,0.8923,2026-03-17T05:00:00,S0153015,Top 10
I0025131,U0547,T0119,skip,-1.0,0.1543,2026-03-17T05:00:00,S0546003,Home
I0031973,U0701,T0234,complete,3.0,0.8877,2026-03-17T05:00:00,S0700002,Home
I0025929,U0566,T0096,play,1.0,0.4528,2026-03-17T05:00:00,S0565001,Home
I0002962,U0067,T0127,complete,3.0,0.9542,2026-03-17T05:00:00,S0066000,Busca
I0036737,U0800,T0029,play,1.0,0.5296,2026-03-17T05:00:00,S0799010,Minha lista
I0025369,U0552,T0016,skip,-1.0,0.1138,2026-03-17T05:00:00,S0551005,Home
I0015531,U0335,T0201,play,1.0,0.3795,2026-03-17T05:00:00,S0334011,Home
I0031904,U0699,T0007,play,1.0,0.1896,2026-03-17T05:00:00,S0698007,Busca
I0017757,U0383,T0178,skip,-1.0,0.1356,2026-03-17T05:00:00,S0382004,Home
I0020194,U0437,T0090,skip,-1.0,0.1017,2026-03-17T05:00:00,S0436003,Minha lista
I0010811,U0234,T0045,complete,3.0,0.8915,2026-03-17T05:00:00,S0233006,Home
I0028992,U0634,T0187,play,1.0,0.3989,2026-03-17T05:00:00,S0633006,Home
I0032153,U0704,T0218,complete,3.0,0.8274,2026-03-17T05:00:00,S0703009,Home
I0024815,U0540,T0028,skip,-1.0,0.1205,2026-03-17T05:00:00,S0539011,Home
I0032488,U0711,T0121,complete,3.0,0.9358,2026-03-17T05:00:00,S0710002,Home
I0007773,U0170,T0169,complete,3.0,0.8544,2026-03-17T05:00:00,S0169003,Home
I0025693,U0560,T0075,like,4.0,0.8621,2026-03-17T05:00:00,S0559007,Home
I0008099,U0178,T0071,like,4.0,0.8226,2026-03-17T05:00:00,S0177002,Home
I0021877,U0474,T0073,complete,3.0,0.8618,2026-03-17T05:00:00,S0473008,Home
I0011627,U0251,T0233,complete,3.0,0.9969,2026-03-17T05:00:00,S0250007,Busca
I0023293,U0507,T0050,skip,-1.0,0.0517,2026-03-17T05:00:00,S0506002,Home
I0033361,U0729,T0082,play,1.0,0.3521,2026-03-17T05:00:00,S0728007,Home
I0001412,U0032,T0204,complete,3.0,0.8943,2026-03-17T05:00:00,S0031008,Minha lista
I0029953,U0656,T0104,like,4.0,0.8612,2026-03-17T05:00:00,S0655002,Home
I0015463,U0334,T0015,play,1.0,0.2101,2026-03-17T06:00:00,S0333010,Home
I0008294,U0182,T0183,skip,-1.0,0.101,2026-03-17T06:00:00,S0181003,Home
I0016701,U0360,T0167,complete,3.0,0.9718,2026-03-17T06:00:00,S0359004,Top 10
I0017715,U0382,T0006,like,4.0,0.7664,2026-03-17T06:00:00,S0381008,Busca
I0024807,U0540,T0045,complete,3.0,0.858,2026-03-17T06:00:00,S0539009,Top 10
I0008411,U0185,T0064,complete,3.0,0.9366,2026-03-17T06:00:00,S0184000,Home
I0033683,U0736,T0099,skip,-1.0,0.1256,2026-03-17T06:00:00,S0735005,Minha lista
I0015649,U0337,T0148,complete,3.0,0.9369,2026-03-17T06:00:00,S0336013,Home
I0022113,U0480,T0083,play,1.0,0.2864,2026-03-17T06:00:00,S0479003,Minha lista
I0008045,U0176,T0146,play,1.0,0.381,2026-03-17T06:00:00,S0175008,Home
I0031232,U0685,T0156,skip,-1.0,0.0432,2026-03-17T06:00:00,S0684005,Busca
I0035100,U0766,T0182,play,1.0,0.6933,2026-03-17T06:00:00,S0765007,Home
I0027534,U0601,T0227,like,4.0,0.9092,2026-03-17T06:00:00,S0600013,Home
I0031236,U0685,T0129,play,1.0,0.5647,2026-03-17T06:00:00,S0684006,Busca
I0021245,U0460,T0220,like,4.0,0.853,2026-03-17T06:00:00,S0459007,Minha lista
I0021776,U0472,T0083,play,1.0,0.3185,2026-03-17T06:00:00,S0471004,Home
I0011744,U0254,T0181,play,1.0,0.6203,2026-03-17T06:00:00,S0253001,Home
I0002868,U0065,T0177,complete,3.0,0.8561,2026-03-17T06:00:00,S0064004,Home
I0015462,U0334,T0230,play,1.0,0.6746,2026-03-17T06:00:00,S0333010,Busca
I0010441,U0225,T0214,play,1.0,0.6162,2026-03-17T06:00:00,S0224013,Home
I0035180,U0768,T0195,skip,-1.0,0.0467,2026-03-17T06:00:00,S0767003,Home
I0000048,U0002,T0113,like,4.0,0.9175,2026-03-17T06:00:00,S0001003,Home
I0019445,U0420,T0103,play,1.0,0.2724,2026-03-17T06:00:00,S0419007,Home
I0007855,U0171,T0186,like,4.0,0.9228,2026-03-17T06:00:00,S0170009,Top 10
I0016836,U0363,T0083,play,1.0,0.5106,2026-03-17T06:00:00,S0362004,Home
I0023617,U0514,T0118,play,1.0,0.4655,2026-03-17T06:00:00,S0513008,Home
I0018987,U0410,T0131,like,4.0,0.7825,2026-03-17T06:00:00,S0409009,Top 10
I0008949,U0196,T0231,play,1.0,0.5227,2026-03-17T06:00:00,S0195002,Top 10
I0035702,U0778,T0035,play,1.0,0.5576,2026-03-17T06:00:00,S0777010,Home
I0003930,U0088,T0166,complete,3.0,0.8846,2026-03-17T06:00:00,S0087004,Home
I0007240,U0158,T0101,play,1.0,0.279,2026-03-17T06:00:00,S0157006,Home
I0029459,U0645,T0143,play,1.0,0.5849,2026-03-17T06:00:00,S0644006,Busca
I0007453,U0163,T0157,skip,-1.0,0.0714,2026-03-17T06:00:00,S0162004,Busca
I0018463,U0399,T0040,play,1.0,0.4231,2026-03-17T06:00:00,S0398009,Home
I0026817,U0585,T0141,complete,3.0,0.8945,2026-03-17T06:00:00,S0584006,Home
I0025424,U0553,T0004,play,1.0,0.4894,2026-03-17T06:00:00,S0552009,Busca
I0025438,U0554,T0053,play,1.0,0.2879,2026-03-17T06:00:00,S0553000,Home
I0025599,U0558,T0224,complete,3.0,0.9787,2026-03-17T06:00:00,S0557002,Home
I0035954,U0784,T0082,complete,3.0,0.9249,2026-03-17T06:00:00,S0783005,Top 10
I0020105,U0435,T0113,complete,3.0,0.9156,2026-03-17T06:00:00,S0434007,Home
I0006266,U0138,T0112,skip,-1.0,0.0535,2026-03-17T06:00:00,S0137000,Busca
I0013975,U0304,T0072,complete,3.0,0.9173,2026-03-17T06:00:00,S0303006,Busca
I0004413,U0100,T0226,like,4.0,0.9921,2026-03-17T06:00:00,S0099008,Home
I0002346,U0054,T0105,like,4.0,0.7555,2026-03-17T06:00:00,S0053005,Home
I0001601,U0036,T0141,complete,3.0,0.9863,2026-03-17T06:00:00,S0035004,Minha lista
I0016113,U0348,T0098,like,4.0,0.8084,2026-03-17T06:00:00,S0347002,Busca
I0017123,U0369,T0204,play,1.0,0.7023,2026-03-17T06:00:00,S0368002,Home
I0010576,U0229,T0218,like,4.0,0.9498,2026-03-17T06:00:00,S0228003,Busca
I0017421,U0376,T0227,complete,3.0,0.9936,2026-03-17T07:00:00,S0375000,Top 10
I0028695,U0628,T0154,play,1.0,0.2019,2026-03-17T07:00:00,S0627006,Minha lista
I0021491,U0466,T0184,skip,-1.0,0.1413,2026-03-17T07:00:00,S0465003,Home
I0035181,U0768,T0066,complete,3.0,0.9523,2026-03-17T07:00:00,S0767003,Top 10
I0027979,U0612,T0025,skip,-1.0,0.0199,2026-03-17T07:00:00,S0611010,Home
I0033576,U0734,T0196,like,4.0,0.7765,2026-03-17T07:00:00,S0733004,Home
I0009709,U0211,T0218,play,1.0,0.6422,2026-03-17T07:00:00,S0210006,Home
I0000484,U0011,T0013,complete,3.0,0.9693,2026-03-17T07:00:00,S0010012,Busca
I0006528,U0144,T0132,play,1.0,0.3375,2026-03-17T07:00:00,S0143003,Minha lista
I0011954,U0259,T0060,like,4.0,0.9007,2026-03-17T07:00:00,S0258001,Busca
I0009364,U0205,T0191,play,1.0,0.4699,2026-03-17T07:00:00,S0204006,Home
